r_mm,mirror_before_um,mirror_after_um
0.796,271.19999999999993,274.3999999999999
0.798,271.19999999999993,274.3999999999999
0.8,271.19999999999993,274.3999999999999
0.802,271.19999999999993,274.3999999999999
0.804,271.19999999999993,274.3999999999999
0.806,271.19999999999993,274.3999999999999
0.808,271.19999999999993,274.3999999999999
0.81,271.19999999999993,274.3999999999999
0.812,271.19999999999993,274.3999999999999
0.8140000000000001,271.19999999999993,274.3999999999999
0.8160000000000001,271.19999999999993,274.3999999999999
0.8180000000000001,271.19999999999993,274.3999999999999
0.8200000000000001,271.19999999999993,274.3999999999999
0.8220000000000001,271.19999999999993,274.3999999999999
0.8240000000000001,271.19999999999993,274.3999999999999
0.8260000000000001,271.19999999999993,274.3999999999999
0.8280000000000001,271.19999999999993,274.3999999999999
0.8300000000000001,271.19999999999993,274.3999999999999
0.8320000000000001,271.19999999999993,274.3999999999999
0.834,271.19999999999993,274.3999999999999
0.836,271.19999999999993,274.3999999999999
0.838,271.19999999999993,274.3999999999999
0.84,271.19999999999993,274.3999999999999
0.842,271.19999999999993,274.3999999999999
0.844,271.19999999999993,274.3999999999999
0.846,271.19999999999993,274.3999999999999
0.848,271.19999999999993,274.3999999999999
0.85,271.19999999999993,274.3999999999999
0.852,271.19999999999993,274.3999999999999
0.854,271.19999999999993,274.3999999999999
0.856,271.19999999999993,274.3999999999999
0.858,271.19999999999993,274.3999999999999
0.86,271.19999999999993,274.3999999999999
0.862,271.19999999999993,274.3999999999999
0.864,271.19999999999993,274.3999999999999
0.866,271.19999999999993,274.3999999999999
0.868,271.19999999999993,274.3999999999999
0.87,271.19999999999993,274.3999999999999
0.872,271.19999999999993,274.3999999999999
0.874,271.19999999999993,274.3999999999999
0.876,271.19999999999993,274.3999999999999
0.878,271.19999999999993,274.3999999999999
0.88,271.19999999999993,274.3999999999999
0.882,271.19999999999993,274.3999999999999
0.884,271.19999999999993,274.3999999999999
0.886,271.19999999999993,274.3999999999999
0.888,271.19999999999993,274.3999999999999
0.89,271.19999999999993,274.3999999999999
0.892,271.19999999999993,274.3999999999999
0.894,271.19999999999993,274.3999999999999
0.896,271.19999999999993,274.3999999999999
0.898,271.19999999999993,274.3999999999999
0.9,271.19999999999993,274.3999999999999
0.902,271.19999999999993,274.3999999999999
0.904,271.19999999999993,274.3999999999999
0.906,271.19999999999993,274.3999999999999
0.908,271.19999999999993,274.3999999999999
0.91,271.19999999999993,274.3999999999999
0.912,271.19999999999993,274.3999999999999
0.914,271.19999999999993,274.3999999999999
0.916,271.19999999999993,274.3999999999999
0.918,271.19999999999993,274.3999999999999
0.92,271.19999999999993,274.3999999999999
0.922,271.19999999999993,274.3999999999999
0.924,271.19999999999993,274.3999999999999
0.926,271.19999999999993,274.3999999999999
0.928,271.19999999999993,274.3999999999999
0.93,271.19999999999993,274.3999999999999
0.932,271.19999999999993,274.3999999999999
0.934,271.19999999999993,274.3999999999999
0.936,271.19999999999993,274.3999999999999
0.9380000000000001,271.19999999999993,274.3999999999999
0.9400000000000001,271.19999999999993,274.3999999999999
0.9420000000000001,271.19999999999993,274.3999999999999
0.9440000000000001,271.19999999999993,274.3999999999999
0.9460000000000001,271.19999999999993,274.3999999999999
0.9480000000000001,271.19999999999993,274.3999999999999
0.9500000000000001,271.19999999999993,274.3999999999999
0.9520000000000001,271.19999999999993,274.3999999999999
0.9540000000000001,271.19999999999993,274.3999999999999
0.9560000000000001,271.19999999999993,274.3999999999999
0.9580000000000001,271.19999999999993,274.3999999999999
0.96,271.19999999999993,274.3999999999999
0.962,271.19999999999993,274.3999999999999
0.964,271.19999999999993,274.3999999999999
0.966,271.19999999999993,274.3999999999999
0.968,271.19999999999993,274.3999999999999
0.97,271.19999999999993,274.3999999999999
0.972,271.19999999999993,274.3999999999999
0.974,271.19999999999993,274.3999999999999
0.976,271.19999999999993,274.3999999999999
0.978,271.19999999999993,274.3999999999999
0.98,271.19999999999993,274.3999999999999
0.982,271.19999999999993,274.3999999999999
0.984,271.19999999999993,274.3999999999999
0.986,271.19999999999993,274.3999999999999
